,mean_value,CellType,treatment,hallmark
147,35.81072,CD4T,IFNb_Ctrl_2h,hallmark_ifna
148,36.243134,CD4T,IFNb_Ctrl_2h,hallmark_ifna
149,35.957535,CD4T,IFNb_Ctrl_2h,hallmark_ifna
150,35.874557,CD4T,IFNb_Ctrl_2h,hallmark_ifna
151,35.92993,CD4T,IFNb_Ctrl_2h,hallmark_ifna
152,35.97918,CD4T,IFNb_Ctrl_2h,hallmark_ifna
153,36.145008,CD4T,IFNb_Ctrl_2h,hallmark_ifna
154,36.27688,CD4T,IFNb_Ctrl_2h,hallmark_ifna
155,35.866898,CD4T,IFNb_Ctrl_2h,hallmark_ifna
156,36.21361,CD4T,IFNb_Ctrl_2h,hallmark_ifna
157,35.884605,CD4T,IFNb_Ctrl_2h,hallmark_ifna
158,36.104023,CD4T,IFNb_Ctrl_2h,hallmark_ifna
159,35.958683,CD4T,IFNb_Ctrl_2h,hallmark_ifna
160,36.11615,CD4T,IFNb_Ctrl_2h,hallmark_ifna
161,36.30449,CD4T,IFNb_Ctrl_2h,hallmark_ifna
162,35.909233,CD4T,IFNb_Ctrl_2h,hallmark_ifna
163,35.75846,CD4T,IFNb_Ctrl_2h,hallmark_ifna
164,36.249737,CD4T,IFNb_Ctrl_2h,hallmark_ifna
165,36.15616,CD4T,IFNb_Ctrl_2h,hallmark_ifna
166,36.1878,CD4T,IFNb_Ctrl_2h,hallmark_ifna
167,36.073547,CD4T,IFNb_Ctrl_2h,hallmark_ifna
168,35.518536,CD4T,IFNb_Ctrl_2h,hallmark_ifna
169,35.8461,CD4T,IFNb_Ctrl_2h,hallmark_ifna
170,35.941963,CD4T,IFNb_Ctrl_2h,hallmark_ifna
171,36.315807,CD4T,IFNb_Ctrl_2h,hallmark_ifna
172,35.89928,CD4T,IFNb_Ctrl_2h,hallmark_ifna
173,35.997066,CD4T,IFNb_Ctrl_2h,hallmark_ifna
174,36.013683,CD4T,IFNb_Ctrl_2h,hallmark_ifna
175,35.81453,CD4T,IFNb_Ctrl_2h,hallmark_ifna
176,36.080868,CD4T,IFNb_Ctrl_2h,hallmark_ifna
177,36.22967,CD4T,IFNb_Ctrl_2h,hallmark_ifna
178,36.15584,CD4T,IFNb_Ctrl_2h,hallmark_ifna
179,36.09209,CD4T,IFNb_Ctrl_2h,hallmark_ifna
180,36.241642,CD4T,IFNb_Ctrl_2h,hallmark_ifna
181,36.208305,CD4T,IFNb_Ctrl_2h,hallmark_ifna
182,36.091892,CD4T,IFNb_Ctrl_2h,hallmark_ifna
183,36.19898,CD4T,IFNb_Ctrl_2h,hallmark_ifna
184,35.900505,CD4T,IFNb_Ctrl_2h,hallmark_ifna
185,35.88216,CD4T,IFNb_Ctrl_2h,hallmark_ifna
186,36.323288,CD4T,IFNb_Ctrl_2h,hallmark_ifna
187,35.99466,CD4T,IFNb_Ctrl_2h,hallmark_ifna
188,35.68847,CD4T,IFNb_Ctrl_2h,hallmark_ifna
189,36.04497,CD4T,IFNb_Ctrl_2h,hallmark_ifna
190,36.171265,CD4T,IFNb_Ctrl_2h,hallmark_ifna
191,35.95597,CD4T,IFNb_Ctrl_2h,hallmark_ifna
192,35.95036,CD4T,IFNb_Ctrl_2h,hallmark_ifna
193,36.389,CD4T,IFNb_Ctrl_2h,hallmark_ifna
194,36.11217,CD4T,IFNb_Ctrl_2h,hallmark_ifna
195,35.935814,CD4T,IFNb_Ctrl_2h,hallmark_ifna
196,35.91591,CD4T,IFNb_Ctrl_2h,hallmark_ifna
197,36.056305,CD4T,IFNb_Ctrl_2h,hallmark_ifna
198,35.998096,CD4T,IFNb_Ctrl_2h,hallmark_ifna
199,36.11346,CD4T,IFNb_Ctrl_2h,hallmark_ifna
200,33.368385,CD8T,IFNb_Ctrl_2h,hallmark_ifna
201,33.007023,CD8T,IFNb_Ctrl_2h,hallmark_ifna
202,33.037464,CD8T,IFNb_Ctrl_2h,hallmark_ifna
203,33.179985,CD8T,IFNb_Ctrl_2h,hallmark_ifna
204,32.967354,CD8T,IFNb_Ctrl_2h,hallmark_ifna
205,32.82242,CD8T,IFNb_Ctrl_2h,hallmark_ifna
206,32.80189,CD8T,IFNb_Ctrl_2h,hallmark_ifna
207,32.98885,CD8T,IFNb_Ctrl_2h,hallmark_ifna
208,33.00429,CD8T,IFNb_Ctrl_2h,hallmark_ifna
209,33.38116,CD8T,IFNb_Ctrl_2h,hallmark_ifna
210,32.686,CD8T,IFNb_Ctrl_2h,hallmark_ifna
211,33.404285,CD8T,IFNb_Ctrl_2h,hallmark_ifna
212,33.164646,CD8T,IFNb_Ctrl_2h,hallmark_ifna
213,33.039043,CD8T,IFNb_Ctrl_2h,hallmark_ifna
214,33.00365,CD8T,IFNb_Ctrl_2h,hallmark_ifna
215,32.680225,CD8T,IFNb_Ctrl_2h,hallmark_ifna
216,32.95967,CD8T,IFNb_Ctrl_2h,hallmark_ifna
217,33.87415,CD8T,IFNb_Ctrl_2h,hallmark_ifna
218,33.175407,CD8T,IFNb_Ctrl_2h,hallmark_ifna
219,33.185265,CD8T,IFNb_Ctrl_2h,hallmark_ifna
220,32.980286,CD8T,IFNb_Ctrl_2h,hallmark_ifna
221,33.130306,CD8T,IFNb_Ctrl_2h,hallmark_ifna
222,33.220615,CD8T,IFNb_Ctrl_2h,hallmark_ifna
223,33.585777,CD8T,IFNb_Ctrl_2h,hallmark_ifna
224,33.11377,CD8T,IFNb_Ctrl_2h,hallmark_ifna
225,33.50463,CD8T,IFNb_Ctrl_2h,hallmark_ifna
226,33.12695,CD8T,IFNb_Ctrl_2h,hallmark_ifna
227,33.324413,CD8T,IFNb_Ctrl_2h,hallmark_ifna
228,32.84208,CD8T,IFNb_Ctrl_2h,hallmark_ifna
229,33.090355,CD8T,IFNb_Ctrl_2h,hallmark_ifna
230,32.68181,CD8T,IFNb_Ctrl_2h,hallmark_ifna
231,33.15676,CD8T,IFNb_Ctrl_2h,hallmark_ifna
232,33.017143,CD8T,IFNb_Ctrl_2h,hallmark_ifna
233,32.98814,CD8T,IFNb_Ctrl_2h,hallmark_ifna
234,33.361076,CD8T,IFNb_Ctrl_2h,hallmark_ifna
235,33.655663,CD8T,IFNb_Ctrl_2h,hallmark_ifna
236,33.510075,CD8T,IFNb_Ctrl_2h,hallmark_ifna
237,33.272167,CD8T,IFNb_Ctrl_2h,hallmark_ifna
238,32.71214,CD8T,IFNb_Ctrl_2h,hallmark_ifna
239,33.346325,CD8T,IFNb_Ctrl_2h,hallmark_ifna
240,33.16749,CD8T,IFNb_Ctrl_2h,hallmark_ifna
241,33.12026,CD8T,IFNb_Ctrl_2h,hallmark_ifna
242,33.273567,CD8T,IFNb_Ctrl_2h,hallmark_ifna
243,33.432858,CD8T,IFNb_Ctrl_2h,hallmark_ifna
244,33.768097,CD8T,IFNb_Ctrl_2h,hallmark_ifna
245,33.261578,CD8T,IFNb_Ctrl_2h,hallmark_ifna
246,33.45895,CD8T,IFNb_Ctrl_2h,hallmark_ifna
247,32.986,CD8T,IFNb_Ctrl_2h,hallmark_ifna
248,32.862144,CD8T,IFNb_Ctrl_2h,hallmark_ifna
249,33.184414,CD8T,IFNb_Ctrl_2h,hallmark_ifna
250,32.951847,CD8T,IFNb_Ctrl_2h,hallmark_ifna
251,32.988728,CD8T,IFNb_Ctrl_2h,hallmark_ifna
252,33.17868,CD8T,IFNb_Ctrl_2h,hallmark_ifna
253,32.8861,CD8T,IFNb_Ctrl_2h,hallmark_ifna
254,32.83023,CD8T,IFNb_Ctrl_2h,hallmark_ifna
255,33.040867,CD8T,IFNb_Ctrl_2h,hallmark_ifna
256,33.278652,CD8T,IFNb_Ctrl_2h,hallmark_ifna
257,32.906845,CD8T,IFNb_Ctrl_2h,hallmark_ifna
258,33.500942,CD8T,IFNb_Ctrl_2h,hallmark_ifna
259,32.85719,CD8T,IFNb_Ctrl_2h,hallmark_ifna
260,33.427704,CD8T,IFNb_Ctrl_2h,hallmark_ifna
261,32.723526,CD8T,IFNb_Ctrl_2h,hallmark_ifna
262,33.346867,CD8T,IFNb_Ctrl_2h,hallmark_ifna
263,33.255135,CD8T,IFNb_Ctrl_2h,hallmark_ifna
264,33.640194,CD8T,IFNb_Ctrl_2h,hallmark_ifna
265,33.66989,CD8T,IFNb_Ctrl_2h,hallmark_ifna
266,32.714058,CD8T,IFNb_Ctrl_2h,hallmark_ifna
267,33.51874,CD8T,IFNb_Ctrl_2h,hallmark_ifna
268,32.73842,CD8T,IFNb_Ctrl_2h,hallmark_ifna
269,33.564674,CD8T,IFNb_Ctrl_2h,hallmark_ifna
270,33.625393,CD8T,IFNb_Ctrl_2h,hallmark_ifna
271,33.330162,CD8T,IFNb_Ctrl_2h,hallmark_ifna
272,33.40339,CD8T,IFNb_Ctrl_2h,hallmark_ifna
273,32.924408,CD8T,IFNb_Ctrl_2h,hallmark_ifna
274,32.94731,CD8T,IFNb_Ctrl_2h,hallmark_ifna
275,33.31102,CD8T,IFNb_Ctrl_2h,hallmark_ifna
276,33.234497,CD8T,IFNb_Ctrl_2h,hallmark_ifna
