,mean_value,CellType,treatment,hallmark
150,10.235696,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
151,10.33215,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
152,10.044609,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
153,10.278854,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
154,10.174996,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
155,10.161001,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
156,10.170738,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
157,10.143659,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
158,10.040582,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
159,10.240759,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
160,10.077908,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
161,9.976396,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
162,10.249531,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
163,10.263631,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
164,9.976548,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
165,10.094373,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
166,10.281353,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
167,10.108491,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
168,10.250987,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
169,10.1605425,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
170,10.201509,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
171,10.276463,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
172,10.1757,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
173,10.270965,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
174,10.100767,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
175,10.009357,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
176,10.143577,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
177,10.215251,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
178,10.079584,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
179,10.175535,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
180,10.180022,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
181,9.918707,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
182,10.26004,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
183,10.133384,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
184,10.196648,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
185,10.244666,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
186,10.272484,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
187,10.234946,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
188,10.078373,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
189,10.115245,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
190,10.155627,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
191,10.164399,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
192,9.993191,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
193,10.052136,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
194,10.226156,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
195,10.262238,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
196,10.275243,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
197,10.126838,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
198,10.279585,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
199,10.178463,CD4T,IFNb_Ctrl_2h,hallmark_ifnb
200,9.418458,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
201,9.400318,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
202,9.44649,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
203,9.43528,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
204,9.390158,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
205,9.356079,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
206,9.410423,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
207,9.578187,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
